public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,19,213d1bb5e6625cbc5bdb07a5dd8bf8d69183f52d923414697685f5a545a2ef3d,100000,BlkGenerator,728,0,137270.99765815676
47.239.100.174,scalability,19,213d1bb5e6625cbc5bdb07a5dd8bf8d69183f52d923414697685f5a545a2ef3d,100000,BlkAdder,0,0,0
47.239.100.174,scalability,20,c480f7cb1253870cbdc0468cc1b96a486f2752745cf0eb2a03414eb1deb1ee41,100000,BlkGenerator,714,0,139889.68299598937
47.239.100.174,scalability,20,c480f7cb1253870cbdc0468cc1b96a486f2752745cf0eb2a03414eb1deb1ee41,100000,BlkAdder,0,0,0
47.239.100.174,scalability,21,82190d414c1447ec619e9e7b640e19911a0831bb7b023391db623b7f2eb7f118,100000,BlkGenerator,724,0,137937.69354382626
47.239.100.174,scalability,21,82190d414c1447ec619e9e7b640e19911a0831bb7b023391db623b7f2eb7f118,100000,BlkAdder,0,0,0
47.239.100.174,scalability,22,2384bcba907bb4f9a5f5b114ee9e0b0edd21612e38527c41f6210e088aad0d00,100000,BlkGenerator,724,0,138095.03424066375
47.239.100.174,scalability,22,2384bcba907bb4f9a5f5b114ee9e0b0edd21612e38527c41f6210e088aad0d00,100000,BlkAdder,0,0,0
47.239.100.174,scalability,23,10a5ea18067917e665ca475a40f7125f88f07ede39550cb28938f2c5150d59a4,100000,BlkGenerator,702,0,142300.9494319346
47.239.100.174,scalability,23,10a5ea18067917e665ca475a40f7125f88f07ede39550cb28938f2c5150d59a4,100000,BlkAdder,0,0,0
47.239.100.174,scalability,24,e8f5f358c6c5cb87c3fd0cd102b12a03f12ad727ecd5ad3888b69c60adc247e0,100000,BlkGenerator,707,0,141392.91819429933
47.239.100.174,scalability,24,e8f5f358c6c5cb87c3fd0cd102b12a03f12ad727ecd5ad3888b69c60adc247e0,100000,BlkAdder,0,0,0
47.239.100.174,scalability,25,bc92ea0ec1373711e98f35156516d69eae2364f3916048547bb795172f9aad61,100000,BlkGenerator,718,0,139132.56411576387
47.239.100.174,scalability,25,bc92ea0ec1373711e98f35156516d69eae2364f3916048547bb795172f9aad61,100000,BlkAdder,0,0,0
47.239.100.174,scalability,26,93d53a0e0f2fa12ff778d3b1b75f9c2947c0a0d5883eb4fcd8343dc757df0dfa,100000,BlkGenerator,688,0,145314.6206852456
47.239.100.174,scalability,26,93d53a0e0f2fa12ff778d3b1b75f9c2947c0a0d5883eb4fcd8343dc757df0dfa,100000,BlkAdder,0,0,0
47.239.100.174,scalability,27,4d5a544cfb7643a265a6ab70db3bd8b4dfd4e4a75b28b6b6fb7f201c768a9c74,100000,BlkGenerator,722,0,138437.62070030055
47.239.100.174,scalability,27,4d5a544cfb7643a265a6ab70db3bd8b4dfd4e4a75b28b6b6fb7f201c768a9c74,100000,BlkAdder,0,0,0
47.239.100.174,scalability,28,39ae35893d1a93729fb6e9c8c2845a3dd0c6bf203ca452fcf32325c7c2464fc9,100000,BlkGenerator,717,0,139466.12367855848
47.239.100.174,scalability,28,39ae35893d1a93729fb6e9c8c2845a3dd0c6bf203ca452fcf32325c7c2464fc9,100000,BlkAdder,0,0,0
47.239.100.174,scalability,29,8fb9917b453f34fd25b87c8ba83638d0bb6238d6f2477a2912fa9c5ecf130827,100000,BlkGenerator,705,0,141793.28807291578
47.239.100.174,scalability,29,8fb9917b453f34fd25b87c8ba83638d0bb6238d6f2477a2912fa9c5ecf130827,100000,BlkAdder,0,0,0
47.239.100.174,scalability,30,91454b39e109b780a8cc6fa7f32065d5f1a9a188e9dec4fb4a5c3ea886373f1e,100000,BlkGenerator,714,0,140050.53023130744
47.239.100.174,scalability,30,91454b39e109b780a8cc6fa7f32065d5f1a9a188e9dec4fb4a5c3ea886373f1e,100000,BlkAdder,0,0,0
47.239.100.174,scalability,31,50c419b92dfd14742defc466a18b349a4e6c6c25b93f16e4fdb3653f553a1ceb,100000,BlkGenerator,704,0,141876.57305650375
47.239.100.174,scalability,31,50c419b92dfd14742defc466a18b349a4e6c6c25b93f16e4fdb3653f553a1ceb,100000,BlkAdder,0,0,0
47.239.100.174,scalability,32,50c3d3b1ab668cbaa4545398d1f221c926e7ac26b5c5f8a066ca2abde599e9a4,100000,BlkGenerator,718,0,139229.2269993317
47.239.100.174,scalability,32,50c3d3b1ab668cbaa4545398d1f221c926e7ac26b5c5f8a066ca2abde599e9a4,100000,BlkAdder,0,0,0
47.239.100.174,scalability,33,85068892ebbee0a5e13664a8cb2317fa56bace66485be86db99845237a84247b,100000,BlkGenerator,710,0,140817.1053354193
47.239.100.174,scalability,33,85068892ebbee0a5e13664a8cb2317fa56bace66485be86db99845237a84247b,100000,BlkAdder,0,0,0
47.239.100.174,scalability,34,f625d93a68e31437ffddc03102f6a0ccc0040904620191cbc7550d1a1aeeb55d,100000,BlkGenerator,705,0,141838.33833549873
47.239.100.174,scalability,34,f625d93a68e31437ffddc03102f6a0ccc0040904620191cbc7550d1a1aeeb55d,100000,BlkAdder,0,0,0
47.239.100.174,scalability,35,ce5ed45345f8b6789fba584fe628288ab04c4b9535091b0f8924dff9964d0eec,100000,BlkGenerator,713,0,140249.11047001684
