public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,1,abbdb161dea8a26f673643474d630d78030e4beeb6bd033cc57e83f94df00379,100000,BlkGenerator,378,0,264086.3668054
47.239.100.174,scalability,1,abbdb161dea8a26f673643474d630d78030e4beeb6bd033cc57e83f94df00379,100000,BlkAdder,0,0,0
47.239.100.174,scalability,2,8c58aee1e1e590a0be36d3fd0c09dbe05a57d0dd617ab2988ca90397ddde6ba1,100000,BlkGenerator,404,0,247344.14227235064
47.239.100.174,scalability,2,8c58aee1e1e590a0be36d3fd0c09dbe05a57d0dd617ab2988ca90397ddde6ba1,100000,BlkAdder,0,0,0
47.239.100.174,scalability,3,56564a13765efe4f97e2cba1e59efd7b8f70467163835097d0afbbdfddfe4fdb,100000,BlkGenerator,368,0,271719.93283083267
47.239.100.174,scalability,3,56564a13765efe4f97e2cba1e59efd7b8f70467163835097d0afbbdfddfe4fdb,100000,BlkAdder,0,0,0
47.239.100.174,scalability,4,e2167dcb25b2918eeb1c363d6fc14641577e48acb9df21f109ed8915aacf033c,100000,BlkGenerator,376,0,265549.23548375105
47.239.100.174,scalability,4,e2167dcb25b2918eeb1c363d6fc14641577e48acb9df21f109ed8915aacf033c,100000,BlkAdder,0,0,0
47.239.100.174,scalability,5,06d99f964120243a489b459f326aa9b7afc8f7a323bd52f8c3d57b603fa88b07,100000,BlkGenerator,388,0,257640.32380235897
47.239.100.174,scalability,5,06d99f964120243a489b459f326aa9b7afc8f7a323bd52f8c3d57b603fa88b07,100000,BlkAdder,0,0,0
47.239.100.174,scalability,6,9ffb53249790d3771c5df3902619b99322f0470a648b7603fbde348f31e74c4b,100000,BlkGenerator,388,0,257107.08252880245
47.239.100.174,scalability,6,9ffb53249790d3771c5df3902619b99322f0470a648b7603fbde348f31e74c4b,100000,BlkAdder,0,0,0
47.239.100.174,scalability,7,3546109653c841c86adaf9adcaf1ccb3865aa70a758d6d51835c6477cfb4673e,100000,BlkGenerator,387,0,258015.24354058836
47.239.100.174,scalability,7,3546109653c841c86adaf9adcaf1ccb3865aa70a758d6d51835c6477cfb4673e,100000,BlkAdder,0,0,0
47.239.100.174,scalability,8,bbb320f773fe9a71f8ba3bc7286bcd89279fe55be7f88603270d1e33d1716b6b,100000,BlkGenerator,364,0,274298.0028362413
47.239.100.174,scalability,8,bbb320f773fe9a71f8ba3bc7286bcd89279fe55be7f88603270d1e33d1716b6b,100000,BlkAdder,0,0,0
47.239.100.174,scalability,9,76c32ee74973abeff5791ff5d729e8320d238b613cf1354b938ede8d3cf72873,100000,BlkGenerator,387,0,258146.45681080708
47.239.100.174,scalability,9,76c32ee74973abeff5791ff5d729e8320d238b613cf1354b938ede8d3cf72873,100000,BlkAdder,0,0,0
47.239.100.174,scalability,10,170f78c1ccc1c0971757635973d2423d57d66af8a7ec6f37c9e7d1dac3de8ca1,100000,BlkGenerator,386,0,258557.61051398667
47.239.100.174,scalability,10,170f78c1ccc1c0971757635973d2423d57d66af8a7ec6f37c9e7d1dac3de8ca1,100000,BlkAdder,0,0,0
47.239.100.174,scalability,11,e7b42744e6cf779012d9b9946ba9860112e9b302e53f317282f6f79fa4332f09,100000,BlkGenerator,390,0,255920.7259959155
47.239.100.174,scalability,11,e7b42744e6cf779012d9b9946ba9860112e9b302e53f317282f6f79fa4332f09,100000,BlkAdder,0,0,0
47.239.100.174,scalability,12,1a9c7dff5c80e50441c398c4cbdc4b08121f89b6c4d003f56b24efba2c9d8776,100000,BlkGenerator,367,0,271874.32881025074
47.239.100.174,scalability,12,1a9c7dff5c80e50441c398c4cbdc4b08121f89b6c4d003f56b24efba2c9d8776,100000,BlkAdder,0,0,0
47.239.100.174,scalability,13,77baea17f042ae8e8c27511d7f3db02d2d1c4f3c79569c2da1d2fa223318ec43,100000,BlkGenerator,370,0,269581.74392430147
47.239.100.174,scalability,13,77baea17f042ae8e8c27511d7f3db02d2d1c4f3c79569c2da1d2fa223318ec43,100000,BlkAdder,0,0,0
47.239.100.174,scalability,14,62b36ae66d664ebeeec00a87a071ba43899134eb49752708b532a93189959ebb,100000,BlkGenerator,376,0,265268.17285935214
47.239.100.174,scalability,14,62b36ae66d664ebeeec00a87a071ba43899134eb49752708b532a93189959ebb,100000,BlkAdder,0,0,0
47.239.100.174,scalability,15,137777d0e396e70daa876da646f50796a173795e7f89ce8c0624385c34dc7108,100000,BlkGenerator,376,0,265651.5236443139
47.239.100.174,scalability,15,137777d0e396e70daa876da646f50796a173795e7f89ce8c0624385c34dc7108,100000,BlkAdder,0,0,0
47.239.100.174,scalability,16,4f857ccfd2c49dccc35ed1ab7ca8e549e76d3739f272e7bbd1efbf5ee74b9ad7,100000,BlkGenerator,364,0,274325.84423778567
